document_id,model,expert_role,relevance_score,coherence_score,faithfulness_score,informativeness_score,explanation_quality_score,overall_satisfaction,stakeholder_fit_score,regulatory_compliance_score,temporal_accuracy_score,causal_accuracy_score,aggregated_score,evaluation_date
doc_001,Baseline_BART,analyst,3.5,4.0,3.0,3.5,2.0,3.2,2.5,3.0,3.0,2.5,3.02,2024-11-15
doc_001,Baseline_BART,compliance,3.0,3.5,3.5,3.0,2.5,3.1,3.0,4.0,3.5,3.0,3.21,2024-11-15
doc_001,Baseline_BART,executive,3.5,4.0,3.0,3.5,2.5,3.3,3.0,3.0,3.0,2.5,3.13,2024-11-15
doc_001,Baseline_BART,investor,3.0,3.5,3.5,3.0,2.0,3.0,2.5,3.5,3.0,3.0,3.00,2024-11-15
doc_001,SOTA_Hybrid,analyst,4.0,4.5,4.0,4.0,3.5,4.0,3.5,3.5,4.0,3.5,3.85,2024-11-16
doc_001,SOTA_Hybrid,compliance,4.0,4.0,4.5,4.0,3.5,4.0,4.0,4.5,4.0,4.0,4.05,2024-11-16
doc_001,SOTA_Hybrid,executive,4.5,4.5,4.0,4.5,3.5,4.2,4.0,3.5,4.0,3.5,4.02,2024-11-16
doc_001,SOTA_Hybrid,investor,4.0,4.0,4.5,4.0,3.0,3.9,3.5,4.0,4.0,4.0,3.89,2024-11-16
doc_001,Full_Model,analyst,4.5,5.0,4.5,4.5,4.5,4.6,4.5,4.0,4.5,4.5,4.51,2024-11-17
doc_001,Full_Model,compliance,4.5,4.5,5.0,4.5,4.5,4.6,5.0,5.0,4.5,4.5,4.71,2024-11-17
doc_001,Full_Model,executive,5.0,5.0,4.5,5.0,4.5,4.8,4.5,4.0,4.5,4.5,4.63,2024-11-17
doc_001,Full_Model,investor,4.5,4.5,5.0,4.5,4.0,4.5,4.0,4.5,4.5,4.5,4.45,2024-11-17
doc_002,Baseline_BART,analyst,3.0,3.5,3.5,3.0,2.5,3.1,2.5,3.0,3.0,2.5,2.96,2024-11-15
doc_002,Baseline_BART,compliance,3.5,4.0,3.5,3.5,2.5,3.4,3.5,4.0,3.5,3.0,3.34,2024-11-15
doc_002,Baseline_BART,executive,3.0,3.5,3.0,3.0,2.0,2.9,2.5,3.0,3.0,2.5,2.84,2024-11-15
doc_002,Baseline_BART,investor,3.5,4.0,3.5,3.5,2.5,3.4,3.0,3.5,3.0,3.0,3.24,2024-11-15
doc_002,SOTA_Hybrid,analyst,4.0,4.0,4.0,4.0,3.5,3.9,3.5,3.5,4.0,3.5,3.79,2024-11-16
doc_002,SOTA_Hybrid,compliance,4.5,4.5,4.5,4.0,3.5,4.2,4.5,4.5,4.0,4.0,4.22,2024-11-16
doc_002,SOTA_Hybrid,executive,4.0,4.0,4.0,4.5,3.0,3.9,3.5,3.5,4.0,3.5,3.79,2024-11-16
doc_002,SOTA_Hybrid,investor,4.5,4.5,4.5,4.0,3.0,4.1,4.0,4.0,4.0,4.0,4.06,2024-11-16
doc_002,Full_Model,analyst,4.5,5.0,4.5,4.5,4.5,4.6,4.5,4.0,4.5,4.5,4.51,2024-11-17
doc_002,Full_Model,compliance,5.0,5.0,5.0,4.5,4.5,4.8,5.0,5.0,4.5,4.5,4.78,2024-11-17
doc_002,Full_Model,executive,4.5,5.0,4.5,5.0,4.0,4.6,4.5,4.0,4.5,4.5,4.51,2024-11-17
doc_002,Full_Model,investor,5.0,5.0,5.0,4.5,4.0,4.7,4.5,4.5,4.5,4.5,4.62,2024-11-17
doc_003,Baseline_BART,analyst,3.5,4.0,3.0,3.5,2.5,3.3,2.5,3.0,3.0,2.5,3.08,2024-11-15
doc_003,Baseline_BART,compliance,3.0,3.5,3.5,3.0,2.5,3.1,3.0,4.0,3.5,3.0,3.21,2024-11-15
doc_003,Baseline_BART,executive,3.5,4.0,3.5,3.5,2.5,3.4,3.0,3.0,3.0,2.5,3.19,2024-11-15
doc_003,Baseline_BART,investor,3.0,3.5,3.0,3.0,2.0,2.9,2.5,3.5,3.0,3.0,2.94,2024-11-15
doc_003,SOTA_Hybrid,analyst,4.5,4.5,4.0,4.0,3.5,4.1,4.0,3.5,4.0,3.5,3.96,2024-11-16
doc_003,SOTA_Hybrid,compliance,4.0,4.0,4.5,4.0,3.5,4.0,4.0,4.5,4.0,4.0,4.05,2024-11-16
doc_003,SOTA_Hybrid,executive,4.5,4.5,4.0,4.5,3.5,4.2,4.0,3.5,4.0,3.5,4.02,2024-11-16
doc_003,SOTA_Hybrid,investor,4.0,4.0,4.5,4.0,3.0,3.9,3.5,4.0,4.0,4.0,3.89,2024-11-16
doc_003,Full_Model,analyst,5.0,5.0,4.5,4.5,4.5,4.7,4.5,4.0,4.5,4.5,4.57,2024-11-17
doc_003,Full_Model,compliance,4.5,4.5,5.0,4.5,4.5,4.6,5.0,5.0,4.5,4.5,4.71,2024-11-17
doc_003,Full_Model,executive,5.0,5.0,4.5,5.0,4.5,4.8,4.5,4.0,4.5,4.5,4.63,2024-11-17
doc_003,Full_Model,investor,4.5,4.5,5.0,4.5,4.0,4.5,4.0,4.5,4.5,4.5,4.45,2024-11-17
doc_004,Baseline_BART,analyst,3.0,3.5,3.0,3.0,2.0,2.9,2.5,3.0,3.0,2.5,2.84,2024-11-15
doc_004,Baseline_BART,compliance,3.5,4.0,3.5,3.5,2.5,3.4,3.5,4.0,3.5,3.0,3.34,2024-11-15
doc_004,Baseline_BART,executive,3.0,3.5,3.0,3.0,2.5,3.0,2.5,3.0,3.0,2.5,2.90,2024-11-15
doc_004,Baseline_BART,investor,3.5,4.0,3.5,3.5,2.0,3.3,3.0,3.5,3.0,3.0,3.18,2024-11-15
doc_004,SOTA_Hybrid,analyst,4.0,4.0,4.0,4.0,3.5,3.9,3.5,3.5,4.0,3.5,3.79,2024-11-16
doc_004,SOTA_Hybrid,compliance,4.5,4.5,4.5,4.0,3.5,4.2,4.5,4.5,4.0,4.0,4.22,2024-11-16
doc_004,SOTA_Hybrid,executive,4.0,4.0,4.0,4.5,3.0,3.9,3.5,3.5,4.0,3.5,3.79,2024-11-16
doc_004,SOTA_Hybrid,investor,4.5,4.5,4.5,4.0,3.0,4.1,4.0,4.0,4.0,4.0,4.06,2024-11-16
doc_004,Full_Model,analyst,4.5,5.0,4.5,4.5,4.5,4.6,4.5,4.0,4.5,4.5,4.51,2024-11-17
doc_004,Full_Model,compliance,5.0,5.0,5.0,4.5,4.5,4.8,5.0,5.0,4.5,4.5,4.78,2024-11-17
doc_004,Full_Model,executive,4.5,5.0,4.5,5.0,4.0,4.6,4.5,4.0,4.5,4.5,4.51,2024-11-17
doc_004,Full_Model,investor,5.0,5.0,5.0,4.5,4.0,4.7,4.5,4.5,4.5,4.5,4.62,2024-11-17
doc_005,Baseline_BART,analyst,3.5,4.0,3.5,3.5,2.5,3.4,2.5,3.0,3.0,2.5,3.14,2024-11-15
doc_005,Baseline_BART,compliance,3.0,3.5,3.0,3.0,2.5,3.0,3.0,4.0,3.5,3.0,3.15,2024-11-15
doc_005,Baseline_BART,executive,3.5,4.0,3.5,3.5,2.0,3.3,3.0,3.0,3.0,2.5,3.13,2024-11-15
doc_005,Baseline_BART,investor,3.0,3.5,3.5,3.0,2.5,3.1,2.5,3.5,3.0,3.0,3.06,2024-11-15
doc_005,SOTA_Hybrid,analyst,4.5,4.5,4.0,4.0,3.5,4.1,4.0,3.5,4.0,3.5,3.96,2024-11-16
doc_005,SOTA_Hybrid,compliance,4.0,4.0,4.5,4.0,3.5,4.0,4.0,4.5,4.0,4.0,4.05,2024-11-16
doc_005,SOTA_Hybrid,executive,4.5,4.5,4.0,4.5,3.5,4.2,4.0,3.5,4.0,3.5,4.02,2024-11-16
doc_005,SOTA_Hybrid,investor,4.0,4.0,4.5,4.0,3.0,3.9,3.5,4.0,4.0,4.0,3.89,2024-11-16
doc_005,Full_Model,analyst,5.0,5.0,4.5,4.5,4.5,4.7,4.5,4.0,4.5,4.5,4.57,2024-11-17
doc_005,Full_Model,compliance,4.5,4.5,5.0,4.5,4.5,4.6,5.0,5.0,4.5,4.5,4.71,2024-11-17
doc_005,Full_Model,executive,5.0,5.0,4.5,5.0,4.5,4.8,4.5,4.0,4.5,4.5,4.63,2024-11-17
doc_005,Full_Model,investor,4.5,4.5,5.0,4.5,4.0,4.5,4.0,4.5,4.5,4.5,4.45,2024-11-17
